status,category,relative_folder,image_count,product_id,product_code,product_name,confidence,files
"matched","Garments and Tags","Garments and Tags\800 GSM + Matt + Texture","1","6630e637-1549-4005-bbfd-3f82f6904dbe","VIS-800-MATTE-TEXTURE","800 GSM Matte + Texture","0.750","download.jpg"
"matched","Files","Files\PVC File(Large)\PVC file(Glass Coated, Big Size)","1","83108374-f14e-433e-85e6-0a3594e80c6b","PVC-FILE-119","PVC FILES(BIG SIZE)","0.725","download.jpg"
"matched","Visiting Card","Visiting Card\Regular Visting Card\Gloss Coated + Texture\Gloss + Texture","1","faf6701c-af91-44a5-b38a-04431e782033","GAR-GLS-001","Gloss Coated Tag","0.720","download.jpg"
"matched","Files","Files\PVC File(Small)\PVC file(Without Coated - Matt Finish, Small Size)","1","fc451eca-fa5c-480e-acad-c7f1dbdc321e","PVC-CLIP-234","PVC CLIP(SMALL SIZE)","0.693","download.jpg"
"matched","Files","Files\PVC File(Large)\PVC file(Without Coated - Matt Finish, Big Size)","1","83108374-f14e-433e-85e6-0a3594e80c6b","PVC-FILE-119","PVC FILES(BIG SIZE)","0.667","download.jpg"
"matched","Visiting Card","Visiting Card\NT  PVC Visiting Cards\800 Micron Fusion\800 Micron + Velvet","1","099d0091-a345-4288-a9d4-1612c1e4a397","VIS-800-001","800 GSM + Velvet","0.667","download.jpg"
"matched","Garments and Tags","Garments and Tags\Matt Lamination + UV","1","bf30f082-2d80-43cb-aed0-39cb9d912a76","GAR-MATUV-001","Matte Lamination + UV","0.667","download.jpg"
"matched","Visiting Card","Visiting Card\Regular Visting Card\Matt Lamination + Texture\Matt + Texture","8","000e4ed3-8e76-4141-b3fb-bc7dde821362","TEXTURE--793","TEXTURE PAPER","0.580","1.jpg | 2.jpg | 3.jpg | 4.jpg | 5.jpg | 6.jpg | 7.jpg | 8.jpg"
"matched","Visiting Card","Visiting Card\Regular Visting Card\Matt Lamination\Matt Lamination","3","5af8e95f-5762-4a95-be49-2b0c487e2171","GAR-MAT-001","Matte Lamination Tag","0.550","1.jpg | 2.jpg | 3.jpg"
"matched","Garments and Tags","Garments and Tags\800 GSM + Matt + UV","1","099d0091-a345-4288-a9d4-1612c1e4a397","VIS-800-001","800 GSM + Velvet","0.550","download.jpg"
"matched","Files","Files\SBS File(Small)\SBS File (Matt Lamination, Small Size )","1","0d9286d0-4fd6-44a9-aab2-fe4ed1693307","SBS-FILE-676","SBS FILES(SS)","0.510","download.jpg"
"matched","Files","Files\SBS File(Small)\SBS File (Gloss Lamination, Small Size )","1","0d9286d0-4fd6-44a9-aab2-fe4ed1693307","SBS-FILE-676","SBS FILES(SS)","0.510","download.jpg"
"matched","Files","Files\SBS File(Large)\SBS File (Matt Lamination, Big Size )","1","0d9286d0-4fd6-44a9-aab2-fe4ed1693307","SBS-FILE-676","SBS FILES(SS)","0.510","download.jpg"
"matched","Files","Files\SBS File(Large)\SBS File (Gloss Lamination, Big Size )","1","0d9286d0-4fd6-44a9-aab2-fe4ed1693307","SBS-FILE-676","SBS FILES(SS)","0.510","download.jpg"
"matched","Visiting Card","Visiting Card","1","c7e58c17-61b9-4d72-bfc4-65875848d88f","VIS-MET-001","Metal Card","0.500","Visiting Card.jpg"
"matched","Shooting Targets","Shooting Targets\RIFLE TARGET","1","6a7772ac-bfb4-4d8a-b208-86ec82c497f0","PISTOL-T-099","PISTOL TARGET","0.500","download.png"
"matched","Shooting Targets","Shooting Targets\RIFLE TARGET\EST - 10 Meter Air Rifle","1","6a7772ac-bfb4-4d8a-b208-86ec82c497f0","PISTOL-T-099","PISTOL TARGET","0.500","download.jpg"
"matched","Shooting Targets","Shooting Targets\RIFLE TARGET\50 Meter Rifle","1","6a7772ac-bfb4-4d8a-b208-86ec82c497f0","PISTOL-T-099","PISTOL TARGET","0.500","download.jpg"
"matched","Shooting Targets","Shooting Targets\RIFLE TARGET\10 Meter Air Rifle with Academy Name","1","6a7772ac-bfb4-4d8a-b208-86ec82c497f0","PISTOL-T-099","PISTOL TARGET","0.500","download.jpg"
